ID,Title,Abstract,Date Published,Tags,DOI,URL,Contributors
2m4da_v1,Judgements of Deepfake Sexual Abuse Victims Differ as a Function of Facial Versus Body Likenesses,"We are witnessing exponential growth in the use of machine learning to create fake – yet indistinguishable - sexual media of others without their consent. Though there is an emerging understanding of the impact that deepfake sexual abuse (DSA) has on its victims and societal understanding thereof, this knowledge pertains entirely to individuals whose facial likeness has been used within said material, with little-to-no attention paid to those whose bodies are used as the canvas; individuals who are predominantly sex workers. Across 321 participants (Mage = 45.70 years, SD = 15.88; 48.9% female), vignettes were used to explore differences in societal judgements of DSA for victims whose face (versus body) was used to generate DSA material, and whether they were labelled as a sex worker. Though perceived criminality did not differ across conditions, participants allocated more blame and less anticipated harm to DSA victims whose body, relative to whose face, was used. This effect was enhanced in vignettes labelling them as sex workers. When exploring correlations using demographics, beliefs, and personality traits, being older, male, and viewing sex work as ‘a choice’ and/or ‘deviant’ predicted greater victim blame, lower perceived criminality, and less anticipated harm. High self-reported empathy was the only predictor of greater anticipated harm. Results indicate the importance of understanding broader impacts of DSA - regardless of the victim - for stakeholders within the criminal justice system, and a continued need to generate public awareness of DSA through international policy.",2025-03-12T11:24:07.056983,"deepfake sexual abuse,image-based sexual abuse,OnlyFans,sex workers,technology-facilitated sexual violence",,https://osf.io/preprints/psyarxiv/2m4da_v1/,"Dean Fido, Harriet Goldfinch, Dominic Ruddy, Craig Harper"
3yx2r_v1,Perceptual judgements are resistant to the advisor's perceived level of trustworthiness: a deep fake approach,"As we navigate our environment, we often make spontaneous judgments about others. Trustworthiness is a key characteristic that we judge instantly and then use when making decisions, especially when we are uncertain. While the effect of trustworthiness on social behaviour has been extensively investigated, it remains unclear how trustworthiness affects more ‘basic’ cognitive processes such as perceptual decision-making. The present study aims to fill this gap. In the first experiment (N = 100), we validated a new trustworthiness manipulation by using deep fake technology to create animated versions of perceptually trustworthy, untrustworthy, and neutral static computer-generated faces. In the second experiment (N = 199), the deep fake procedure was applied to a new set of trustworthy and untrustworthy faces that served as advisors during a perceptual decision-making task. Here participants had to indicate the direction of dots that were either moving coherently to the left or to the right (i.e., random dot motion task). Contrary to our predictions, participants did not follow the advice of the trustworthy advisors more often than the advice of the untrustworthy advisors. We did find that participants decided faster and were more confident when following the advice, but this was also not influenced by the trustworthiness of the advisors. We integrate our findings within theoretical frameworks of advice taking, domain specificity of facial trustworthiness, and task requirements.",2024-05-09T12:35:09.876570,"advice taking,deep fake,faces,perceptual decision making,social cognition,Trustworthiness",,https://osf.io/preprints/psyarxiv/3yx2r_v1/,"Mathias Van der Biest, Sam Verschooren, Frederick Verbruggen, Marcel Brass"
4ms5a_v1,Deepfaked online content is highly effective in manipulating people’s attitudes and intentions,"In recent times, disinformation has spread rapidly through social media and news sites, biasing our (moral) judgements of other people and groups. “Deepfakes”, a new type of AI-generated media, represent a powerful new tool for spreading disinformation online. Although Deepfaked images, videos, and audio may appear genuine, they are actually hyper-realistic fabrications that enable one to digitally control what another person says or does. Given the recent emergence of this technology, we set out to examine the psychological impact of Deepfaked online content on viewers. Across seven preregistered studies (N = 2558) we exposed participants to either genuine or Deepfaked content, and then measured its impact on their explicit (self-reported) and implicit (unintentional) attitudes as well as behavioral intentions. Results indicated that Deepfaked videos and audio have a strong psychological impact on the viewer, and are just as effective in biasing their attitudes and intentions as genuine content. Many people are unaware that Deepfaking is possible; find it difficult to detect when they are being exposed to it; and most importantly, neither awareness nor detection serves to protect people from its influence. All preregistrations, data and code available at osf.io/f6ajb.",2021-03-08T21:28:34.047805,"Attitudes,Deepfake,Disinformation,Implicit,Intentions,Psychology",,https://osf.io/preprints/psyarxiv/4ms5a_v1/,"Sean Hughes, Ohad Fried, Melissa Ferguson, Ciaran Hughes, Rian Hughes, Xinwei Yao, Ian Hussey"
5bmav_v2,Understanding how survivors of non-consensual intimate image dissemination are perceived by UK and Norwegian respondents,"Purpose: In popular media, ‘revenge pornography’ refers to the non-consensual sharing of intimate images (NCSII) of another. Despite survivors of NCSII facing long-term consequences, they still face victim-blaming attitudes. Extant literature has typically sampled from countries where NCSII has long been illegal, such as the United Kingdom (UK); neglecting perspectives from countries lacking NCSII-specific legislation, such as Norway at the time of data collection. 
Methods: Participants (n = 477) from the UK and Norway responded to vignettes depicting NCSII, which differed by the survivor-perpetrator relationship depicted (i.e., casual vs. committed). 
Results: Controlling for participant sex and psychopathic personality traits (previously implicated in judgements of image-based sexual abuse), UK citizens perceived NCSII to have worse impacts on survivors than Norwegian citizens. Moreover, data trends suggested participants attributed increased victim-blame in vignettes featuring casual relationships, with higher self-reported psychopathic personality traits predicting judgements associated with viewing NCSII as less criminal in nature. 
Conclusion: These findings emphasise a need to better understand the role of legislation in public perceptions of NCSII (and image-based sexual abuse more broadly) and the need to be conscious about further exploring technology-facilitated crime internationally.",2025-03-27T10:15:31.682898,"image-based sexual abuse,non-consensual sharing of intimate images,psychopathy,revenge pornography,victim blame",,https://osf.io/preprints/psyarxiv/5bmav_v2/,"Dean Fido, Anny C. Hesbøl, Anthony Danby"
6qr7t_v1,Development and validation of the Beliefs about Revenge Pornography Questionnaire,"Revenge pornography has become an increasingly prominent topic in social and legislative discussions about sexual crime, but has received relatively little attention within psychological research. Here, we leveraged existing theorizing in the area of sexual offending proclivity to systematically develop and validate of a measure of beliefs about revenge pornography. Using a large international community sample (N = 511) we found our ‘Beliefs about Revenge Pornography Questionnaire (BRPQ)’ to be comprised of three underpinning domains: ‘Victims as Responsible’, ‘Sociological Explanations’, and ‘Revenge Pornography as a Sexual Offense’. Concurrent validity is demonstrated through relationships with trait empathy, belief in a just world, dark personality traits, and rape myth acceptance. Randomly dividing the sample, we also show that the BRPQ predicts both revenge pornography proclivity (n = 227) and social judgements of this type of offending (n = 233). Implications and future directions are discussed.",2020-11-28T22:38:34.394099,"forensic psychology,images based sexual abuse,offense proclivity,revenge pornography,scale development,scale validation,sexual abuse,social attitudes",,https://osf.io/preprints/psyarxiv/6qr7t_v1/,"Craig A. Harper, Lorraine Smith, Jessie Leach, Neil Daruwala, Dean Fido"
7bm45_v1,Examining Perceptions of Sextortion in the General Population,"The non-consensual sharing of sexual images of another (or threats thereof) represents an increasingly important and pervasive issue in forensic psychology. However, despite recent legislative developments within the United Kingdom, there still exists a need for greater understanding of perceptions within the general public of the dangers and manifestations of image-based sexual abuse and the process by which people are being (s)extorted using their private images. Ten participants (Mage = 24.8 years; SD = 9.33; 70% female) took part in semi-structured interviews which were analysed using an inductive thematic analytic approach, wherein the themes of [1] Education as a Prevention against Image Based Sexual Abuse, [2] Victim Blaming Prevalence in Society, [3] Stereotypes about Victim and Perpetrator, and [4] Low Priority for Criminal Justice were explored. Taken together, data suggests that although there exists a ‘working knowledge’ of image-based sexual abuse, the concept of sextortion is understood to a lesser extent with clear implications for the need for educational policies to better inform younger members of society of associated dangers and legalities.",2021-10-11T12:46:44.301696,"Image-Based Sexual Abuse,Revenge Pornography,Sextortion,Thematic Analysis",,https://osf.io/preprints/psyarxiv/7bm45_v1/,"Anisha Gohil, Dean Fido"
a9dwe_v1,Cognitive flexibility but not cognitive styles influence deepfake detection skills and metacognitive accuracy,"Background: Deepfakes are AI-generated synthetic media that is increasingly used by cybercriminals to impersonate other individuals during remote social engineering attacks. Previous studies indicated that political orientation is associated with deepfake detection abilities, while being an IT professional is not. Little is known about the cognitive factors predicting individual differences in deepfake detection abilities. In this study, we assess the role of cognitive styles and cognitive flexibility on deepfake recognition skills and metacognitive accuracy. Methods: Cognitive styles and flexibility were measured using an embedded figures test that included a hidden cognitive flexibility task. 247 participants were tasked with rating a series of short video clips as either deepfake or authentic. Metacognitive accuracy was measured as prospective judgements of deepfake detection abilities controlling for actual performance. Results: Cognitive styles were not associated with deepfake detection performance. Cognitively flexible individuals were better at detecting deepfakes and had higher metacognitive accuracy than individuals who were less cognitively flexible. Conclusion: This is the first study assessing the role of cognitive styles and cognitive flexibility in deepfake detection skills and metacognitive judgements about deepfake detection abilities. Our results indicate that cognitively flexible individuals are better at detecting deepfakes and self-assessing social engineering susceptibility.",2023-02-14T15:03:01.665519,"cognitive flexibility,cognitive security,cognitive styles,cybersecurity,deepfake detection,field dependence,field independence,neuroergonomics,perception,social engineering,synthetic media",,https://osf.io/preprints/psyarxiv/a9dwe_v1/,"Torvald F. Ask, Ricardo Lugo, Jonas fritsch, Karl Veng, Jonathan Eck, Muhammed-Talha Özmen, Basil Bärreiter, Benjamin J. Knox, Stefan Sütterlin"
b4fgc_v1,Understanding Image-Based Sexual Abuse through Greek Public and Legal Lenses: A Constructionist Thematic Analysis,"Image-Based Sexual Abuse (IBSA), including deepfake sexual abuse - where fake yet lifelike sexual content is generated of non-consenting persons - constitutes a growing form of digitally mediated gender-based violence that remains largely under-researched within non-Anglophonic contexts. This study explores how IBSA is constructed and perceived by both laypeople and lawyers in Greece, a Southern European setting characterised by economic precarity, traditional gender norms, and evolving yet challenging legal frameworks. Drawing on semi-structured interviews with 21 participants either originating from or living in Greece (n = 16 lay persons, n = 5 legal professionals), we employed constructionist thematic analysis to examine how participants discursively frame IBSA, its motivations, barriers to reporting, legal challenges, and preventative measures. Five themes were identified: (1) constructions of IBSA as gendered violence motivated by control, humiliation, and financial exploitation; (2) barriers to reporting shaped by shame, stigma, and widespread mistrust in police institutions; (3) legal barriers related to financial inaccessibility and fragmented, outdated legal frameworks; (4) the central role of informal support networks alongside calls for education and public awareness; and (5) deepfake technologies as an emergent form of economic exploitation, particularly impacting sex workers within a legal vacuum. The findings highlight the need for structurally informed, context-sensitive responses to IBSA that address the intersections of gender, law, technology, and economic vulnerability.",2025-07-03T10:04:19.946226,,,https://osf.io/preprints/psyarxiv/b4fgc_v1/,"Anastasia Rousaki, Dean Fido"
hwujb_v1,"Individual Deep Fake Recognition Skills are Affected by Viewers’ Political Orientation, Agreement with Content and Device Used","AI-generated “deep fakes” are becoming increasingly professional and can be expected to become an essential tool for cybercriminals conducting targeted and tailored social engineering attacks, as well as for others aiming for influencing public opinion in a more general sense. While the technological arms race is resulting in increasingly efficient forensic detection tools, these are unlikely to be in place and applied by common users on an everyday basis any time soon, especially if social engineering attacks are camouflaged as unsuspicious conversations. To date, most cybercriminals do not yet have the necessary resources, competencies or the required raw material featuring the target to produce perfect impersonifications. To raise awareness and efficiently train individuals in recognizing the most widespread deep fakes, the understanding of what may cause individual differences in the ability to recognize them can be central. Previous research suggested a close relationship between political attitudes and top-down perceptual and subsequent cognitive processing styles. In this study, we aimed to investigate the impact of political attitudes and agreement with the political message content on the individual’s deep fake recognition skills.
In this study, 163 adults (72 females = 44.2%) judged a series of video clips with politicians’ statements across the political spectrum regarding their authenticity and their agreement with the message that was transported. Half of the presented videos were fabricated via lip-sync technology. In addition to the particular agreement to each statement made, more global political attitudes towards social and economic topics were assessed via the Social and Economic Conservatism Scale (SECS).
Data analysis revealed robust negative associations between participants’ general and in particular social conservatism and their ability to recognize fabricated videos. This effect was pronounced where there was a specific agreement with the message content. Deep fakes watched on mobile phones and tablets were considerably less likely to be recognized as such compared to when watched on stationary computers.
To the best of our knowledge, this study is the first to investigate and establish the association between political attitudes and interindividual differences in deep fake recognition. The study further supports very recently published research suggesting relationships between conservatism and perceived credibility of conspiracy theories and fake news in general. Implications for further research on psychological mechanisms underlying this effect are discussed.",2021-12-30T14:24:35.177365,"conservatism,cybercrime,deep fakes,deepfakes,fake news,perception,political orientation,recognition,social engineering,social media",10.1007/978-3-031-35017-7_18,https://osf.io/preprints/psyarxiv/hwujb_v1/,"Stefan Sütterlin, Torvald F. Ask, Sophia Mägerle, Sandra Glöckler, Leandra Wolf, Julian Schray, Alaya Chandi, Teodora Bursac, Ali Khodabakhsh, Benjamin J. Knox"
knvby_v1,"How deepfake quality, media literacy, and personal attitudes shape detection, liking, and social media sharing of political deepfakes","The increasing realism and accessibility of political deepfakes pose serious risks to democratic discourse by blurring the line between authentic and manipulated media. The present study examined how deepfake quality, media literacy, and attitudes toward the person depicted in the video shape individuals’ ability to detect political deepfakes, their emotional responses (liking), and behavioral intentions (social media sharing). A total of 1,124 participants from the United Kingdom, Slovenia, and Italy viewed manipulated videos about climate change and immigration that varied in quality. The results showed that high-quality deepfakes were less likely to be detected and received more positive evaluations than low-quality ones. In contrast, quality did not significantly influence sharing intention. Media literacy and attitudes toward the person in the video emerged as strong predictors across outcomes; higher media literacy improved detection and reduced liking and sharing, while more positive attitudes decreased detection and increased both liking and sharing. Mediation analyses demonstrated that liking partially mediated the link between detection and sharing intention. Furthermore, moderated mediation models revealed that this indirect effect was stronger among individuals with high media literacy (for climate change videos) and favorable attitudes toward the video’s subject (for both topics). Overall, the study highlights the need for interventions that address not only detection skills but also emotional and motivational susceptibility to persuasive synthetic media. Enhancing media literacy and implementing platform-level friction mechanisms may help curb the spread of political deepfakes online.",2025-05-19T13:56:11.518654,"attitudes,deepfake,detection,liking,media literacy,quality,sharing",,https://osf.io/preprints/psyarxiv/knvby_v1/,"Nejc Plohl, Izidor Mlakar, Letizia Aquilino, Michele Brienza, Piercosma Bisconti, Urška Smrke"
