ID,Title,Abstract,Date Published,Tags,DOI,URL,Contributors,Provider
E0169-DC7-EB6,Perceptual judgements are resistant to the advisor's perceived level of trustworthiness: a deep fake approach,"As we navigate our environment, we often make spontaneous judgments about others. Trustworthiness is a key characteristic that we judge instantly and then use when making decisions, especially when we are uncertain. While the effect of trustworthiness on social behaviour has been extensively investigated, it remains unclear how trustworthiness affects more ‘basic’ cognitive processes such as perceptual decision-making. The present study aims to fill this gap. In the first experiment (N = 100), we validated a new trustworthiness manipulation by using deep fake technology to create animated versions of perceptually trustworthy, untrustworthy, and neutral static computer-generated faces. In the second experiment (N = 199), the deep fake procedure was applied to a new set of trustworthy and untrustworthy faces that served as advisors during a perceptual decision-making task. Here participants had to indicate the direction of dots that were either moving coherently to the left or to the right (i.e., random dot motion task). Contrary to our predictions, participants did not follow the advice of the trustworthy advisors more often than the advice of the untrustworthy advisors. We did find that participants decided faster and were more confident when following the advice, but this was also not influenced by the trustworthiness of the advisors. We integrate our findings within theoretical frameworks of advice taking, domain specificity of facial trustworthiness, and task requirements.",2024-05-09T12:35:09.876570+00:00,"deep fake,faces,social cognition,trustworthiness,advice taking,perceptual decision making",,,"Sam Verschooren, Marcel Brass, Mathias Van der Biest, Frederick Verbruggen",psyarxiv
E0101-0D4-1EE,Delineating non-consensual sexual image offending: Towards an empirical approach,"The topic of non-consensual sexual images has become an increasingly important issue within the social policy landscape. Social and legal scholars have advocated for these behaviours to be designated sexual offences due to the mode of perpetration of these behaviours, but are explicit in their rejection of a sexual element being important in the motivations underpinning such behaviours. However, this rejection is inconsistent with the core theoretical models related to sexual offending. In this article, we outline some of the potential psychological concepts that may help us to understand how and why people engage in a range of non-consensual sexual image offences, such as revenge pornography, upskirting, deepfake media production, and cyber-flashing. In doing so, we aim to begin to bridge the gap between legal scholars and psychological scientists, and develop a more comprehensive and theoretically coherent approach to studying this important social topic.",2019-06-12T19:58:21.005041+00:00,"upskirting,courtship disorder,cyber-flashing,non-consensual sexual images,dick pics,sexual offending,deepfake,revenge pornography,exhibitionism,pornography",,,"Craig A. Harper, Dean Fido, Dominic Petronzi",psyarxiv
E00C9-744-B93,Deepfaked online content is highly effective in manipulating people’s attitudes and intentions,"In recent times, disinformation has spread rapidly through social media and news sites, biasing our (moral) judgements of other people and groups. “Deepfakes”, a new type of AI-generated media, represent a powerful new tool for spreading disinformation online. Although Deepfaked images, videos, and audio may appear genuine, they are actually hyper-realistic fabrications that enable one to digitally control what another person says or does. Given the recent emergence of this technology, we set out to examine the psychological impact of Deepfaked online content on viewers. Across seven preregistered studies (N = 2558) we exposed participants to either genuine or Deepfaked content, and then measured its impact on their explicit (self-reported) and implicit (unintentional) attitudes as well as behavioral intentions. Results indicated that Deepfaked videos and audio have a strong psychological impact on the viewer, and are just as effective in biasing their attitudes and intentions as genuine content. Many people are unaware that Deepfaking is possible; find it difficult to detect when they are being exposed to it; and most importantly, neither awareness nor detection serves to protect people from its influence. All preregistrations, data and code available at osf.io/f6ajb.",2021-03-08T21:28:34.047805+00:00,"implicit,disinformation,psychology,deepfake,intentions,attitudes",,,"Rian Hughes, Ciaran Hughes, Sean Hughes, Xinwei Yao, Melissa Ferguson, Ian Hussey, Ohad Fried",psyarxiv
E0071-DDA-89C,Seeing is Believing: The Continued Influence of a Known AI-Generated 'Deepfake' Video,"Advances in artificial intelligence mean it is becoming easier to create highly realistic deepfake videos, which can appear to show someone doing or saying something they did not in fact do or say. Deepfakes may present a threat to individuals and society: for example, deepfakes could be used to influence elections by discrediting political opponents. Psychological research suggests that people cannot reliably identify deepfakes and thus can be influenced by their content. However, little is yet known about the potential impact of a deepfake video which has been explicitly identified and flagged as fake. We explored this issue with two preregistered studies in which participants were shown a bespoke deepfake video of a man appearing to admit to committing a crime. Participants were then asked questions about the man’s guilt, to test how they had been influenced by the video’s content. We found that most participants relied on the content of a deepfake video, even when they had been explicitly warned beforehand that it was fake. This result was observed even with participants who indicated that they believed the warning and knew the video to be fake. We also found this specific warning to be no more effective than a generic warning about the existence of deepfake videos. Our findings suggest that identifying and flagging deepfake videos will not entirely negate their influence. This has implications for legislators, policy makers, and regulators of social media platforms and online news.",2024-05-23T11:27:21.719145+00:00,"artificial intelligence,deepfake,misinformation,social media,psychology",,,"Simon Clark, Stephan Lewandowsky",psyarxiv
E005F-432-924,"How deepfake quality, media literacy, and personal attitudes shape detection, liking, and social media sharing of political deepfakes","The increasing realism and accessibility of political deepfakes pose serious risks to democratic discourse by blurring the line between authentic and manipulated media. The present study examined how deepfake quality, media literacy, and attitudes toward the person depicted in the video shape individuals’ ability to detect political deepfakes, their emotional responses (liking), and behavioral intentions (social media sharing). A total of 1,124 participants from the United Kingdom, Slovenia, and Italy viewed manipulated videos about climate change and immigration that varied in quality. The results showed that high-quality deepfakes were less likely to be detected and received more positive evaluations than low-quality ones. In contrast, quality did not significantly influence sharing intention. Media literacy and attitudes toward the person in the video emerged as strong predictors across outcomes; higher media literacy improved detection and reduced liking and sharing, while more positive attitudes decreased detection and increased both liking and sharing. Mediation analyses demonstrated that liking partially mediated the link between detection and sharing intention. Furthermore, moderated mediation models revealed that this indirect effect was stronger among individuals with high media literacy (for climate change videos) and favorable attitudes toward the video’s subject (for both topics). Overall, the study highlights the need for interventions that address not only detection skills but also emotional and motivational susceptibility to persuasive synthetic media. Enhancing media literacy and implementing platform-level friction mechanisms may help curb the spread of political deepfakes online.",2025-05-19,"attitudes,deepfake,detection,liking,media literacy,quality,sharing",,,"Urška Smrke, Michele Brienza, Nejc Plohl, Izidor Mlakar, Letizia Aquilino, Piercosma Bisconti",psyarxiv
E0190-06C-F6A,Deepfake Detection in Super-Recognizers and Police Officers,"The present study is the first empirical investigation of the relationshion between human deepfake detection performance (DDP) and individuals' face identity processing ability. Using videos from the Deepfake Detection Challenge, we investigated DDP in two unique observer groups: Super-Recognizers (SRs) and ""normal"" officers from within the 18K members of the Berlin Police. SRs were identified either via previously proposed lab-based procedures or the only existing tool for SR identification involving increasingly challenging, authentic forensic material: the Berlin Test For Super-Recognizer Identification (beSure®). Participants judged either pairs of videos, or single videos in a 2-alternative forced-choice decision setting (i.e., which of the pair, or whether a single video was a deepfake or not). We explored speed-accuracy trade-offs, compared DDP between lab-identified SRs and non-SRs, and police officers as a function of their independently measured face identity processing (FIP) ability. Interestingly, we found no relationship between DDP and FIP ability. Further work using static deepfakes created with current state-of-the-art generative models is needed to determine the value of SR deployment for deepfake detection in law enforcement.",2024-01-13T20:21:39.496175+00:00,"law enforcement,policing,super-recognizers,deepfake detection,facial identity processing",,,"Matthew J Vowels, Matthew Groh, Meike Ramon",psyarxiv
E001C-1FF-3E1,Labeling Synthetic Content: User Perceptions of Warning Label Designs for AI-generated Content on Social Media,"In this research, we explored the efficacy of various warning label designs for AI-generated content on social media platforms—e.g., deepfakes. We devised and assessed ten distinct label design samples that varied across the dimensions of sentiment, color/iconography, positioning, and level of detail. Our experimental study involved 911 participants randomly assigned to these ten label designs and a control group evaluating social media content. We explored their perceptions relating to 1) Belief in the content being AI-generated, 2) Trust in the labels and 3) Social Media engagement perceptions of the content. The results demonstrate that the presence of labels had a significant effect on the user’s belief that the content is AI-generated, deepfake, or edited by AI. However their trust in the label significantly varied based on the label design. Notably, having labels did not significantly change their engagement behaviors, such as ’like’, comment, and sharing. However, there were significant differences in engagement based on content type: political and entertainment. This investigation contributes to the field of human-computer interaction by defining a design space for label implementation and providing empirical support for the strategic use of labels to mitigate the risks associated with synthetically generated media.",2025-02-20T11:57:42.989521+00:00,"warning labels,content labels,#ai content,deepfake images,deepfakes",,,"Arosha Bandara, Dilki, Dilrukshi Gamage, Min Zhang",psyarxiv
E01F5-022-85A,"Celebrity status, sex, and variation in psychopathy predicts judgements of and proclivity to generate and distribute deepfake pornography","With the advent of means to generate and disseminate fake, sexualised images of others for the purposes of financial gain, harassment, or sexual gratification, there is a need to assess and understand the public’s awareness and judgements of said behaviour. In two independently-sampled studies, we used moderation (Study 1) and linear mixed effects (Study 2) analyses to investigate whether judgements of deepfaking differed as a function of victim status (celebrity, non-celebrity), victim and participant demographics, and image use (sharing, own sexual gratification), whilst controlling for the potential covariates of psychopathy and beliefs about a just world. We consistently observed more lenient judgements of deepfake generation and dissemination for victims who were celebrities and male, and when images were created for self-sexual gratification rather than being shared. Moreover, lenient judgements, as well as proclivity to act were predicted by greater levels of psychopathy. We discuss our findings in the context of needing to qualitatively understand the general public’s rationale for said disparity in judgements, as well as identifying and combating barriers to disclose victimisation. Open data and a preprint of this paper are available at https://osf.io/fp85q/?view_only=24ed2820782f4c2f9c19352f97d58611.",2020-11-15T17:11:36.789136+00:00,"non-consensual image-based offending,judgements,psychopathy,deepfake media production",,,"Dean Fido, Craig A. Harper, Jaya Rao",psyarxiv
E0153-ACC-2E6,Are we overclaiming the Psychosocial Impacts of Misinformation? A Systematic Review of Evidence,"Misinformation, or what we call ‘Technologically manipulated information’ (TMI), has a long history of shaping people's social lives. Research in this area has spiked recently, especially after the COVID-19 pandemic. With technological advancement, the ease of manipulating information, as in ‘deep fake,’ and its quick dissemination over social media has caused a stir among researchers. ’ However, in the relevant literature, a general assumption is repeatedly observed that misinformation and TMI lead to negative psychosocial impacts. The present review systematically analyzes the empirical evidence available in the research literature for the negative impact of misinformation. The aim is to gather proof for this commonly held belief about the impact and identify the gaps in the literature, if any.",2023-07-06T03:45:14.343020+00:00,"misinformation,ai,social networking sites,covid 19,psychosocial impact,and deepfakes",,,Ankita Sharma,psyarxiv
E01DD-770-81D,Enhancing Human Detection of Real and AI-Generated Hyperrealistic Faces,"Recent advancements in generative artificial intelligence (AI) technologies have prompted concerns about the proliferation of deepfake content—synthetic images, audio, and videos—online. StyleGan2, a powerful generative adversarial network architecture, can generate synthetic images of human faces that appear more realistic than actual human faces—a phenomenon termed AI hyperrealism. Across four preregistered experiments (total N = 661), we tested whether a novel behavioral intervention, termed DISCERN-AI, improved people’s ability to discriminate between real and synthetic StyleGan2 images. DISCERN-AI combines instructions about which visual features are diagnostic for classifying real and synthetic images with an inductive learning training protocol. In Experiment 1, participants completed a pre-test, DISCERN-AI, and a post-test. In Experiment 2, participants underwent DISCERN-AI or a control task before completing a post-test. In Experiments 3A and 3B, participants completed a shortened version of the intervention or control task, followed by an immediate post-test and a second post-test after 20 days. In all experiments, participants showed below-chance discrimination performance (AI hyperrealism) in the pre-test and control conditions. After completing DISCERN-AI, however, participants consistently showed above-chance discrimination performance, even when tested after 20 days. Together, the results provide support for an easily scalable intervention that substantially improves people’s ability to discriminate between real and synthetic StyleGan2 images.",2025-02-27T19:03:39.270656+00:00,"face perception,deepfake detection,ai hyperrealism,generative ai,artificial intelligence (ai),roc analysis",,,"Philip Anthony Higham, Mansi Pattni, Tina Seabrooke",psyarxiv
