ID,Title,Abstract,Date Published,Tags,DOI,URL,Contributors,Provider
E023A-304-483,Examining Perceptions of Sextortion in the General Population,"The non-consensual sharing of sexual images of another (or threats thereof) represents an increasingly important and pervasive issue in forensic psychology. However, despite recent legislative developments within the United Kingdom, there still exists a need for greater understanding of perceptions within the general public of the dangers and manifestations of image-based sexual abuse and the process by which people are being (s)extorted using their private images. Ten participants (Mage = 24.8 years; SD = 9.33; 70% female) took part in semi-structured interviews which were analysed using an inductive thematic analytic approach, wherein the themes of [1] Education as a Prevention against Image Based Sexual Abuse, [2] Victim Blaming Prevalence in Society, [3] Stereotypes about Victim and Perpetrator, and [4] Low Priority for Criminal Justice were explored. Taken together, data suggests that although there exists a ‘working knowledge’ of image-based sexual abuse, the concept of sextortion is understood to a lesser extent with clear implications for the need for educational policies to better inform younger members of society of associated dangers and legalities.",2021-10-11T12:46:44.301696+00:00,"thematic analysis,image-based sexual abuse,sextortion,revenge pornography",,,"Dean Fido, Anisha Gohil",psyarxiv
E0165-17D-8A8,Intrasexual competition as a predictor of women’s judgements of revenge pornography offending,"Recent legislative developments have led to a marked increase in the empirical investigation of motivations and judgements of so-called acts of ‘revenge pornography’ offending. In two independently-sampled studies, we used moderation analyses to investigate whether higher levels of intrasexual competition predicted more lenient judgements of revenge pornography offences as a function of sex (Study 1, N = 241), and whether such relationships would be further moderated by physical attractiveness (Study 2, N = 402). Potential covariates of callous-unemotional traits, empathy, and victimization history were controlled for. Opposing our hypotheses, we consistently observed a trend for higher levels of intrasexual competition being associated with more lenient judgements of revenge pornography offences involving male victims by female participants. The results are discussed in terms of intrasexual competition potentially sharing variance with unobserved constructs in the wider sexological literature, and of the key relevance of these findings for future empirical investigation into judgements of non-consensual image-based offending. Open data and a preprint of this paper are available at https://osf.io/y29fq/?view_only=568a2c403fcf428280914c149063db95.",2018-12-11T18:02:26.296367+00:00,"revenge porn,non-consensual image-based offending,empathy,callous-unemotional traits,intrasexual competition",,,"Dominic Petronzi, Sophie Worrall, Mia Davis, Craig A. Harper, Dean Fido",psyarxiv
E00D0-0EA-C6A,The Scientometrics of Child Sexual Exploitation Material Offending:  An Analysis of Fifty Years of Academic Research,"Child sexual exploitation material (CSEM) research is an increasingly important area of interdisciplinary study.  Key research areas include offenders and offending behavior; legal and societal issues; victimology; treatment; investigations; digital forensics; and deterrence.   Many publications are multidisciplinary, with fields including law, psychology, criminal justice, sociology, digital forensics, data analytics, and related areas.  This study examines the historical body of research on CSEM offending through a scientometric review.  The Web of Science Core Collection was searched for relevant research articles with no date restrictions, and 990 responsive papers published between 1979 and the present were identified.  The key authors in the field included Michael Seto (n=31, fc=10.87), Ethel Quayle (n=21, fc=7.49), and Kathryn Seigfried-Spellar (n=12, fc=7.17), with the paper “Prevalence and Characteristics of Youth Sexing: A National Study” by Mitchell et al. identified as the most cited.  Historiographical analysis identified works by Ethel Quayle and Max Taylor as well as Michael Seto as seminal papers in the field, and the United States (45.7%, n=452), the United Kingdom (29.2%, n=289), and Australia (23.6%, n=234) as the countries with the highest numbers of publications.  Keyword analyses found the terms child pornography and indecent images decreasing over time, and the terms CSEM and child sexual abuse images increasing in usage.",2025-05-31,Scientometrics; Child Sexual Exploitation Material; Child Sexual Abuse Material,,,Chad M.S. Steel,psyarxiv
E00BD-0A7-E14,Judgements of Deepfake Sexual Abuse Victims Differ as a Function of Facial Versus Body Likenesses,"We are witnessing exponential growth in the use of machine learning to create fake – yet indistinguishable - sexual media of others without their consent. Though there is an emerging understanding of the impact that deepfake sexual abuse (DSA) has on its victims and societal understanding thereof, this knowledge pertains entirely to individuals whose facial likeness has been used within said material, with little-to-no attention paid to those whose bodies are used as the canvas; individuals who are predominantly sex workers. Across 321 participants (Mage = 45.70 years, SD = 15.88; 48.9% female), vignettes were used to explore differences in societal judgements of DSA for victims whose face (versus body) was used to generate DSA material, and whether they were labelled as a sex worker. Though perceived criminality did not differ across conditions, participants allocated more blame and less anticipated harm to DSA victims whose body, relative to whose face, was used. This effect was enhanced in vignettes labelling them as sex workers. When exploring correlations using demographics, beliefs, and personality traits, being older, male, and viewing sex work as ‘a choice’ and/or ‘deviant’ predicted greater victim blame, lower perceived criminality, and less anticipated harm. High self-reported empathy was the only predictor of greater anticipated harm. Results indicate the importance of understanding broader impacts of DSA - regardless of the victim - for stakeholders within the criminal justice system, and a continued need to generate public awareness of DSA through international policy.",2025-03-12,"OnlyFans,deepfake sexual abuse,image-based sexual abuse,sex workers,technology-facilitated sexual violence",,,"Dominic Ruddy, Dean Fido, Harriet Goldfinch, Craig Harper",psyarxiv
E01F5-022-85A,"Celebrity status, sex, and variation in psychopathy predicts judgements of and proclivity to generate and distribute deepfake pornography","With the advent of means to generate and disseminate fake, sexualised images of others for the purposes of financial gain, harassment, or sexual gratification, there is a need to assess and understand the public’s awareness and judgements of said behaviour. In two independently-sampled studies, we used moderation (Study 1) and linear mixed effects (Study 2) analyses to investigate whether judgements of deepfaking differed as a function of victim status (celebrity, non-celebrity), victim and participant demographics, and image use (sharing, own sexual gratification), whilst controlling for the potential covariates of psychopathy and beliefs about a just world. We consistently observed more lenient judgements of deepfake generation and dissemination for victims who were celebrities and male, and when images were created for self-sexual gratification rather than being shared. Moreover, lenient judgements, as well as proclivity to act were predicted by greater levels of psychopathy. We discuss our findings in the context of needing to qualitatively understand the general public’s rationale for said disparity in judgements, as well as identifying and combating barriers to disclose victimisation. Open data and a preprint of this paper are available at https://osf.io/fp85q/?view_only=24ed2820782f4c2f9c19352f97d58611.",2020-11-15T17:11:36.789136+00:00,"non-consensual image-based offending,judgements,psychopathy,deepfake media production",,,"Dean Fido, Craig A. Harper, Jaya Rao",psyarxiv
E007E-C63-ED8,Understanding how survivors of non-consensual intimate image dissemination are perceived by UK and Norwegian respondents,"Purpose: In popular media, ‘revenge pornography’ refers to the non-consensual sharing of intimate images (NCSII) of another. Despite survivors of NCSII facing long-term consequences, they still face victim-blaming attitudes. Extant literature has typically sampled from countries where NCSII has long been illegal, such as the United Kingdom (UK); neglecting perspectives from countries lacking NCSII-specific legislation, such as Norway at the time of data collection. 
Methods: Participants (n = 477) from the UK and Norway responded to vignettes depicting NCSII, which differed by the survivor-perpetrator relationship depicted (i.e., casual vs. committed). 
Results: Controlling for participant sex and psychopathic personality traits (previously implicated in judgements of image-based sexual abuse), UK citizens perceived NCSII to have worse impacts on survivors than Norwegian citizens. Moreover, data trends suggested participants attributed increased victim-blame in vignettes featuring casual relationships, with higher self-reported psychopathic personality traits predicting judgements associated with viewing NCSII as less criminal in nature. 
Conclusion: These findings emphasise a need to better understand the role of legislation in public perceptions of NCSII (and image-based sexual abuse more broadly) and the need to be conscious about further exploring technology-facilitated crime internationally.",2025-03-27,"image-based sexual abuse,non-consensual sharing of intimate images,psychopathy,revenge pornography,victim blame",,,"Anny C. Hesbøl, Anthony Danby, Dean Fido",psyarxiv
E008F-58D-4B7,Content Moderator Startle Response: A Qualitative Study,"Commercial Content Moderators review user-generated content (UGC) to ensure the posts meet platform policies, guidelines, community standards, and regional laws. While the majority of posted UGC is deemed acceptable, a large amount of content remains, which is classified as non-compliant and may include gore, violence, suicide, child sexual abuse material (CSAM), and pornography, to name a few. Because of this, content moderators have a greater prevalence of their nervous system activating a startle response, which can impact emotional, psychological, and physiological processes. Prior research on content moderators has failed to explore moderators' initial reactions to content from the start of employment through tenure as the subjection to material and habituation increases. This study takes an in-depth look at moderators' experiences from recruiting, through training, and production to better understand the content moderators' startle response and factors that enable startle habituation. The current study sample consisted of a total of 78 respondents - 38 content moderators located in the Philippines employed by TaskUs Inc. and 40 content moderators located in Estonia employed by Sutherland Global Services. Employee tenure ranged from 0-6 months. Succeeding our analysis, transparency, understanding, and preparedness were major themes identified as the critical factors found within both companies when exploring the activation of the startle response and facilitation of habituation following content exposure. These themes were prevalent in the recruiting, training, and production phases of the employment life-cycle.",2022-06-01T18:40:11.349917+00:00,"recruitment,startle habituation,startle response,wellbeing,resilience,commercial content moderation,training",,,"Rainer Mere, Priyanka Manchanda, Miriah E. Steiger, Timir Bharucha",psyarxiv
E006A-6B7-D83,"Understanding social judgments of, and proclivities to commit upskirting","Against a backdrop of legislative change that sees the taking of private sexual images underneath the clothing of a non-consenting other being made a criminal offence – upskirting – there is a need to understand the public’s judgments of, and motivations to perpetrate said behavior. In this study (N = 490), we investigated whether judgments of upskirting differed as a function of victim sex (male, female) and their perceived attractiveness (attractive, unattractive), as well as how variation in voyeuristic interest, belief in a just world, and psychopathic personality traits predicted judgments of, and proclivity to engage in upskirting behaviors. We consistently observed more lenient judgments of upskirting behaviors when victims were attractive and male, with such judgements predicted by older age across all conditions. Moreover, proclivity to engage in upskirting was predicted by past voyeuristic behaviors, higher psychopathic personality, and being male and of older age. We discuss our findings in the context of needing to qualitatively understand the general public’s rationale for said disparity in judgments, as well as identifying and combating barriers to disclose victimization. Open data and a preprint of this paper are available at https://osf.io/wyt2z/?view_only=ca4ea7b5886b4a52aad67cfd847d7af1.",2023-07-12T20:59:40.426555+00:00,"voyeurism,social judgments,upskirting,psychopathy,non-consensual image-based offending",,,"Thomas E. Page, Dean Fido, Craig A. Harper, Simon Duff",psyarxiv
E001A-280-175,Examining the Gendered Impacts of Technology-Facilitated Sexual Violence: A Mixed Methods Approach,"This study employed a mixed methods approach, integrating quantitative online survey data (N = 333; Mage = 33.91; 63% women) with qualitative interview data (N = 10; Agerange = 24-46; 50% women) to gain a more comprehensive understanding of TFSV. We found that victims of TFSV experienced anxiety, stress, depression, loss of control, mistrust, multiple victimizations, poor academic/occupation functioning, problematic alcohol consumption, embarrassment, and online behaviour changes (e.g., limiting personal information online) due to TFSV victimization. Individuals who experienced online image-based abuse reported greater distress on items of depression, anxiety, and occupational/academic functioning than did victims of other types of TFSV. The current study provides partial support for the gender similarities hypothesis that TFSV is not exclusively a gender-based harm; our findings suggest that women and men’s TFSV experiences are similar for most TFSV types. Overall, the present study demonstrates the negative impact TFSV has for both women and men and highlights the need for greater awareness and increased support for all victims of this form of sexual violence.",2021-11-08T18:12:34.754104+00:00,"sexual harassment,mixed methods,sexual violence,gender,technology,internet abuse",,,"Amanda champion, Flora Oswald, Cory Pedersen, Devinder Khera",psyarxiv
E0101-0D4-1EE,Delineating non-consensual sexual image offending: Towards an empirical approach,"The topic of non-consensual sexual images has become an increasingly important issue within the social policy landscape. Social and legal scholars have advocated for these behaviours to be designated sexual offences due to the mode of perpetration of these behaviours, but are explicit in their rejection of a sexual element being important in the motivations underpinning such behaviours. However, this rejection is inconsistent with the core theoretical models related to sexual offending. In this article, we outline some of the potential psychological concepts that may help us to understand how and why people engage in a range of non-consensual sexual image offences, such as revenge pornography, upskirting, deepfake media production, and cyber-flashing. In doing so, we aim to begin to bridge the gap between legal scholars and psychological scientists, and develop a more comprehensive and theoretically coherent approach to studying this important social topic.",2019-06-12T19:58:21.005041+00:00,"upskirting,courtship disorder,cyber-flashing,non-consensual sexual images,dick pics,sexual offending,deepfake,revenge pornography,exhibitionism,pornography",,,"Craig A. Harper, Dean Fido, Dominic Petronzi",psyarxiv
