ID,Title,Abstract,Date Published,Tags,DOI,URL,Contributors,Provider
m4wc3_v1,Cognitive Status Moderates Long-term Benefits of Non-pharmacological Insomnia Therapy in Older Adults,"INTRODUCTION: This secondary analysis examined whether mild cognitive impairment (MCI)
moderates the effectiveness of non-pharmacological insomnia therapy, and whether insomnia
therapy is associated with clinically meaningful symptom reduction.
METHODS: Cognitively intact (CI; n=87) and MCI (n=38) older adults with insomnia
completed insomnia therapy. The primary outcome was the Insomnia Severity Index (ISI),
assessed at baseline, post-treatment, and six-month follow-up (6FU). Linear mixed effects
models evaluated ISI changes across time and group. Logistic regression examined clinically
meaningful reductions (ISI decrease≥6).
RESULTS: Both groups showed significant ISI reductions at post-treatment and 6FU (pvalues&lt;.
0001). There were no between-group differences at post-treatment (p=.869). Yet, at
6FU, CI participants, compared to MCI, showed significantly greater symptom reduction
(p=.036), and a higher proportion achieved clinically meaningful reduction in ISI (78.7% vs
45.8%).
DISCUSSION: Older adults with MCI benefit from insomnia therapy; however, their continued
symptom reduction six-months later may be dampened compared to CI older adults.",2025-10-02T21:26:16.128537,"CBT-I,Insomnia,Mild Cognitive Impairment,Non-Pharmacological Therapy for Insomnia,Sleep",,https://osf.io/preprints/psyarxiv/m4wc3_v1/,,psyarxiv
j69f8_v1,Text-based and memory-based metrics of cognitive coupling,"The present study was an investigation of the relation between cognitive
coupling, a correlation between text di!culty and reading time, and other
measures of mind wandering during reading. To measure cognitive coupling,
we manipulated the text di!culty of individual sentences. Because mind
wandering may shift attention away from the text, we predicted cognitive
coupling, that is, that the e""ect of di!culty on processing time, should be less
when readers are o"" task. We also manipulated the consistency of a target
sentence’s content with a prior information. Analogous to the text-based
cognitive coupling, we predicted an interaction of consistency with task focus:
the impact of this consistency should be less noticeable when readers are o""
task. The results demonstrated the predicted text-based cognitive-coupling
e""ect: There was less of an e""ect of text di!culty when readers reported being
o"" task. However, there was no such interaction between consistency and task
focus. We conclude that the consistency e""ect may depend on the relatively
automatic activation of prior information, rather than requiring consciously
retrieving related information in the mindset.",2025-10-01T17:57:56.243810,"cognitive coupling,memory resonance,mind wandering,reading,standards of coherence",10.1037/cep0000349,https://osf.io/preprints/psyarxiv/j69f8_v1/,,psyarxiv
n8pmg_v2,Value through cognitive effort: Working for an environmental organization increases subsequent donations,"Cognitive effort is a characteristic but understudied feature of many pro-environmental behaviors, and traditionally, it is mostly discussed as a barrier that keeps people from behaving pro-environmentally. In contrast, contemporary frameworks of cognitive effort show that effort can also be beneficial, for example by increasing the subjective value of the outcome of an effortful action. From this new perspective, we conducted an exploratory secondary analysis of existing data from an online study (N = 1160) featuring the Work for Environmental Protection Task (WEPT), which allows participants to exert real cognitive effort in exchange for donations to a pre-selected pro-environmental organization. We found that after performing the WEPT, participants were more likely to donate additional bonus money to their assigned organization compared to an alternative organization, suggesting a higher subjective value of the former. To assess the robustness of this finding, we conducted a high-powered, preregistered confirmatory study (N = 801). We found that the differential pattern in the donation decisions replicated with a larger effect size and was also consistent with self-reported subjective value of the organizations. These findings indicate that spending effort for the benefit of a pro-environmental organization can increase the value assigned to that organization. This resonates with the idea that effort is more than just a barrier and can have a positive effect on pro-environmental behavior.",2025-10-01T08:07:44.354196,,,https://osf.io/preprints/psyarxiv/n8pmg_v2/,,psyarxiv
29dcr_v1,Revisiting Orthographic Effects in Spoken Word Recognition: Insights from Pretrained Language Models,"The paired lexical decision task is a common task used for studying online speech processing. Several key priming effects underlying the composition of the mental lexicon have been found using this priming paradigm, non-exhaustively including orthographic priming effects, semantic priming effects, and phonological priming. This study revisits the effects of orthographic priming in an auditory lexical decision task with English heteronymic pairs, word pairs that share the same orthographic form but have distinct phonological codes. Although heteronymic pairs present an ideal condition for orthographic priming effects to surface, heteronyms are often related to each other semantically, making it difficult to isolate possible orthographic effects from semantic priming effects. To this end, we present a novel methodology for using language models to generate semantically matched prime target controls to compare reaction times against. Using these semantically matched controls, we gather reaction time results from a sample of 29 English speaking university student and conduct Bayesian Regression analysis on 153 heteronymic prime target pairs and 343 control pairs. We find no significant difference in reaction times between heteronymic pairs and semantically matched pairs.",2025-10-01T08:47:26.277677,,,https://osf.io/preprints/psyarxiv/29dcr_v1/,,psyarxiv
35v9y_v1,Defining high-quality bridging elements in cognitive behavior therapy - a way to support their implementation in patient’s daily lives after psychotherapy daily lives after psychotherapy,"The post-treatment continuation of effective elements, strategies, techniques and behaviors acquired in cognitive behavioral therapy (CBT) represents a key element of relapse prevention. Research indicates that the quality rather than the quantity of these elements predict therapeutic outcomes in CBT. However, it remains unclear which factors facilitate the post-treatment implementation and continuation of individually helpful elements. This study investigated whether the quality of ""bridging elements"" predicts their implementation in the post-treatment phase. Bridging elements were defined as any element of previous therapy that a patient has experienced as helpful and that helps maintain treatment effects from the patient's perspective after treatment termination. Criteria were derived from the literature to rate the quality of patients' open-ended descriptions of their bridging-elements. A prospective longitudinal observational study was conducted with 120 inpatients who had been previously treated with CBT. Multiple linear regression analyses showed that a quality score composed of four quality criteria significantly predicted implementation of bridging elements even after controlling for motivational factors, while none of the single quality criteria alone was predictive at four-month follow-up. Prior to treatment termination individually helpful bridging elements should be identified to foster enduring change. Specific attention should be paid to defining high-quality bridging skills, which should be specific, time-limited, independent from others, action-oriented, measurable, and frequently applicable.",2025-09-30T21:25:01.579474,,,https://osf.io/preprints/psyarxiv/35v9y_v1/,,psyarxiv
9hyav_v1,Computational Markers of Altered Social Interaction and Cognition in Methamphetamine Use Disorder,"Computational modeling of a 10-trial trust game in 49 individuals with methamphetamine use disorder (IMUD) and 49 non-user controls revealed higher irritation, lower guilt, and reduced Theory of Mind in IMUD. These traits did not affect their own earnings but reduced partners’ earnings. Furthermore, lower guilt correlated with addiction severity. These findings suggest a more self-oriented decision-making strategy in IMUD and highlight guilt reduction as a potential computational clinical marker.",2025-09-30T09:54:07.009092,"money distribution games,social decision-making,stimulants,substance use disorder",,https://osf.io/preprints/psyarxiv/9hyav_v1/,,psyarxiv
arpyq_v4,Too Depleted to Learn? An Exploration of Cognitive Load and the Testing Effect,"The testing effect occurs when learners, after receiving information to learn and practicing through an assessment, show superior performance in subsequent tests compared to simply reviewing the information. This effect tends to be less pronounced or even reversed when immediate tests are employed instead of delayed tests. The objective of this study was to examine the occurrence of this effect by varying the complexity within the same specific knowledge domain. Consequently, a quantitative investigation was developed with a sample of 310 students from an elementary school in the city of Santa Isabel, Ecuador. The sample included 171 females and 139 males, with an average age between 9 and 12 years, and a factorial design was implemented with the variables of task sequence (example-example vs. example-problem), element interactivity (i.e., high vs. low), and test timing (i.e., immediate vs. delayed). The results indicated that performance in both immediate and delayed tests is superior in tasks with a low level of element interactivity compared to tasks with high element interactivity. It was also found that example-problem tasks are better than example-example tasks in the delayed test. It is concluded that the relationship between element interactivity and the testing effect is not entirely clear, and it is suggested that the design of learning tasks should impose cognitive load within the limits of working memory.",2025-09-29T15:44:48.250797,"cognitive load,element interactivity,testing effect",,https://osf.io/preprints/psyarxiv/arpyq_v4/,,psyarxiv
z4ruj_v4,Attention hijacked: How social media notifications disrupt cognitive processing,"Digital notifications are ubiquitous in modern life, yet their impact on cognitive performance remains poorly understood. Here, we introduce an ecologically valid paradigm to examine how social media notifications disrupt ongoing task performance. Participants completed a Stroop task while receiving smartphone-style notifications, allowing us to track both behavioural and physiological responses. Notifications triggered a transient slowdown in cognitive processing lasting approximately seven seconds, driven by the combined influence of perceptual salience, learned associations, and relevance appraisal. The magnitude of this disruption was predicted by the inferred relevance of notifications and by individual patterns of smartphone use—specifically, the frequency of interaction (notification volume and checking behaviour) rather than total time spent on the device. These findings were mirrored in changes in pupil dilation, a physiological marker of cognitive load, confirming the convergent impact of notification relevance and smartphone habits. Together, our results show that modern digital cues can hijack attentional resources, even in the absence of explicit personal relevance. They underscore the need to account for notification frequency—not merely screen time—when evaluating the cognitive cost of pervasive digital environments, and raise broader concerns about the long-term impact of habitual device interaction on attentional functioning.",2025-09-30T17:38:06.488600,"Attention disruption,Emotional response,Smartphone use,Social media notification,User behaviors",,https://osf.io/preprints/psyarxiv/z4ruj_v4/,,psyarxiv
8zahd_v1,"Age of parents and cognitive ability of their children –  is there a negative, no or positive correlation?","In recent decades, the average age of parents at the birth of their children has increased. Older parents have generally completed their education, are emotionally more mature and usually have work experience and their own income, which can be an advantage for their children’s development. On the other hand, the risk of mutations (in the father) increases as the parents get older, and there are also general health risks (especially in the mother). This means that both positive and negative factors for cognitive development are linked to the age of the par-ents. In our study with five diverse samples from different ethnic backgrounds, we covered an age range of 6 to 18 years (primary and secondary schools in Austria and Ecuador, N=920), used tests for both fluid and crystallized intelligence, and used target-specific measures for control variables. We calculated correlations and regressions between parental age and chil-dren’s intelligence (controlling for parental education, parental income, number of children, birth order and sex of children). Positive (linear) correlations were found in four out of five samples, on average r=+.10 to r=+.11 (N=920). Curvilinear (quadratic, inverted U-shaped) correlations are higher than linear ones (R=.20). The association with the age of the mother is somewhat stronger (father RF=.16 vs. mother RM=.19). The effect of parental age remained positive when other family variables were taken into account in a regression: beta=+.19. The par-ents’ level of education was more relevant (beta=+.28). Even if the possible effects are not large, there are predominantly positive (statistical) effects of the age of parents at the birth of their children on the development of their children. The slight inverted U-shaped curvilinearity in-dicates an optimal age for expectant parents of around 25/30 to 40 years.",2025-09-27T04:19:46.586342,,,https://osf.io/preprints/psyarxiv/8zahd_v1/,,psyarxiv
njvdg_v2,Social offloading: When joint action leads to cognitive facilitation,"Sharing a task in the real world can be more efficient than doing it alone. However, psychology experiments using shared task paradigms have often revealed a cognitive cost from working together. Research on joint action has shown how people track and prioritise the actions and intentions of task partners even when this generates cognitive interference and impairs performance. In contrast, we present four experiments using the picture–word interference (PWI) task in which joint action removed cognitive interference and facilitated performance. In the standard PWI task performed alone, participants respond to target pictures while ignoring distractor words written on top. If picture–word pairs are related (e.g., apple–orange) then responses are slowed compared to when they are unrelated (e.g., apple–book), known as semantic interference. In our joint version of the task, we removed semantic interference by telling participants they would be collaborating with a partner who was responsible for the distractor words (Experiment 1, N = 77). Furthermore, interference was only removed when participants believed that their partner was responding specifically to the words (Experiment 2, N = 78), was perceived as high in social status (Experiment 3, N = 80), or high in task competence (Experiment 4, N = 76). We propose this demonstrates how people can deprioritise information associated with partners on shared tasks. In doing so, they can reduce their own cognitive demands by leveraging the cognitive resources of others to support an efficient division-of-cognitive-labour. We term this social offloading.",2025-09-27T13:41:02.346246,"cognitive interference,cognitive offloading,distributed cognition,joint action,social offloading",,https://osf.io/preprints/psyarxiv/njvdg_v2/,,psyarxiv
